request_id,category,name,distance_metres,website,source,extracted_email
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.bengaluru@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.bhopal@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.bhubneswar@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.chennai@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.daman@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.delhi@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.gandhinagar@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.hyderabad@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.jodhpur@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.kangra@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.kannur@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.kolkata@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.mumbai@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.panchkula@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.patna@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.raebareli@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.raipur@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.shillong@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.srinagar@nift.ac.in
93529641,college,National Institute Of Fashion Technology,1422.9,https://nift.ac.in/,scraped_website,director.varanasi@nift.ac.in
93529641,restaurant,Nectar Kitchen & Bar,1754.6,https://amovebo.com/nectarmenu,osm_tag,contact@amovebo.com
93529641,pub,36 DownTown,2075.3,https://www.36downtownbrewpub.com/,scraped_website,36-logo-02-1_00a6005b0_2209@2x.png
93529641,pub,36 DownTown,2075.3,https://www.36downtownbrewpub.com/,scraped_website,72x-8_00c100c31_2359@2x.png
93529641,pub,36 DownTown,2075.3,https://www.36downtownbrewpub.com/,scraped_website,logo6years_009600640_2577@2x.png
93529641,pub,36 DownTown,2075.3,https://www.36downtownbrewpub.com/,scraped_website,logo6years_00c300c31_2577@2x.png
