request_id,category,name,distance_metres,email,website,phone,address,postcode,opening_hours,cuisine,operator,brand,amenity,latitude,longitude,osm_type,osm_id,osm_url
35596153,restaurant,Wingster,340.2,,,,,,,,,,restaurant,17.4515049,78.39417,node,6261444885,https://www.openstreetmap.org/node/6261444885
35596153,restaurant,Madura Indian Fusion Restaurant,350.9,,,,,,,,,,restaurant,17.450881,78.3966975,way,753231497,https://www.openstreetmap.org/way/753231497
35596153,restaurant,Kritunga,367.8,,,,,,,,,,restaurant,17.4514807,78.3937843,node,6246439585,https://www.openstreetmap.org/node/6246439585
35596153,restaurant,HutK Restaurant,368.4,,,,,,,,,,restaurant,17.4515635,78.3936807,node,7025820814,https://www.openstreetmap.org/node/7025820814
35596153,restaurant,Restaurant Guest Wifi Solutions,376.1,,,,,,,,,,restaurant,17.4508318,78.3947564,node,7027716893,https://www.openstreetmap.org/node/7027716893
35596153,restaurant,Red Bucket,457.6,,,,,,,,,,restaurant,17.4516821,78.392479,node,10171328862,https://www.openstreetmap.org/node/10171328862
35596153,restaurant,Super Lean Meals,459.6,,,,,,,,,,restaurant,17.4516412,78.3924843,node,7025820821,https://www.openstreetmap.org/node/7025820821
35596153,restaurant,Kitchen 007,467.2,,,,,,,,,,restaurant,17.4499217,78.3949095,node,7027716895,https://www.openstreetmap.org/node/7027716895
35596153,restaurant,Tollywood Thick Shakes,470.7,,,,,,,,,,restaurant,17.4499292,78.3947616,node,7027716897,https://www.openstreetmap.org/node/7027716897
35596153,restaurant,Dhanyatha Foods,534.4,,,,,,,,,,restaurant,17.4498409,78.3934938,node,7025820815,https://www.openstreetmap.org/node/7025820815
35596153,restaurant,Annapurna Tiffens,537.2,,,,,,,,,,restaurant,17.4518379,78.391518,node,5469130135,https://www.openstreetmap.org/node/5469130135
35596153,restaurant,The London Shakes,541.2,,,,,,,,,,restaurant,17.4513469,78.3917665,node,7025820823,https://www.openstreetmap.org/node/7025820823
35596153,college,Sri Chaitanya College,591.9,,,,,,,,,,college,17.4509725,78.391453,node,7025820836,https://www.openstreetmap.org/node/7025820836
35596153,restaurant,Mukka Mudda,615.1,,,,,,,indian,,,restaurant,17.450138,78.391885,node,10171328869,https://www.openstreetmap.org/node/10171328869
35596153,restaurant,Shake Stories,738.9,,,,,,,,,,restaurant,17.4475218,78.3944099,node,7025820813,https://www.openstreetmap.org/node/7025820813
35596153,restaurant,Inner Chef,739.4,,,,,,,,,,restaurant,17.4493044,78.3911004,node,7025820832,https://www.openstreetmap.org/node/7025820832
35596153,restaurant,Charcoal Bbq,842.8,,,,,,,,,,restaurant,17.4475331,78.3918768,node,5931166341,https://www.openstreetmap.org/node/5931166341
35596153,college,Resonance,870.5,,,,,,,,,,college,17.4501153,78.388921,node,6935432004,https://www.openstreetmap.org/node/6935432004
35596153,restaurant,Organic Thali kitchen,881.5,,,,,,,,,,restaurant,17.4476207,78.3910935,node,7025820825,https://www.openstreetmap.org/node/7025820825
35596153,restaurant,Sampradhaya curry point,903.0,,,,,,,,,,restaurant,17.446934,78.3918229,node,5692072169,https://www.openstreetmap.org/node/5692072169
35596153,restaurant,Kalinga's Kitchen,908.5,,,,,,,,,,restaurant,17.4469404,78.3917078,node,5467328880,https://www.openstreetmap.org/node/5467328880
35596153,restaurant,Bake Factory Kitchens,913.6,,,,,,,,,,restaurant,17.4462187,78.3988928,node,7025820773,https://www.openstreetmap.org/node/7025820773
35596153,restaurant,Fudzy,930.6,,,,"195 Jai Hind Gandhi Road, Hyderabad, 500081",500081,Mo-Sa 08:00-18:00,regional,,,restaurant,17.4488567,78.38912,node,6934838950,https://www.openstreetmap.org/node/6934838950
35596153,college,VelocIITy junior kalam campus,939.8,,,,,,,,,,college,17.4465983,78.3917396,node,7021303609,https://www.openstreetmap.org/node/7021303609
35596153,restaurant,Golconda Chefs,940.9,,,,,,,,,,restaurant,17.4462385,78.3924715,node,7025820784,https://www.openstreetmap.org/node/7025820784
35596153,restaurant,Raju Gari Biriyani,956.5,,,,,,,,,,restaurant,17.4462141,78.3921748,node,10171342017,https://www.openstreetmap.org/node/10171342017
35596153,restaurant,Desi Dhabha,978.1,,,,,,,,,,restaurant,17.4458496,78.3925347,node,7025820783,https://www.openstreetmap.org/node/7025820783
35596153,restaurant,Golconda Chef,1006.5,,,,,,,indian,,,restaurant,17.4455723,78.3925382,node,5793698165,https://www.openstreetmap.org/node/5793698165
35596153,restaurant,Simhapuri Deluxe,1040.1,,,,,,,,,,restaurant,17.4513665,78.3866436,node,7021303736,https://www.openstreetmap.org/node/7021303736
35596153,university,VelocIITy School,1112.1,,,,"Kakateeya Hills Rd 9, Kakatiya Hills, Kavuri Hills Phase 1, Kavuri Hills, Jubilee Hills, Hyderabad, Telangana 500033",,,,,,university,17.4441106,78.3977727,node,7385438446,https://www.openstreetmap.org/node/7385438446
35596153,restaurant,The sweet tooth,1116.4,,,,,,,,,,restaurant,17.4466519,78.3888618,node,6935609217,https://www.openstreetmap.org/node/6935609217
35596153,restaurant,Ankapur Kitchen,1119.5,,,,,,,,,,restaurant,17.4452494,78.3907983,node,7025803845,https://www.openstreetmap.org/node/7025803845
35596153,restaurant,The grand truck road,1127.1,,,,,,,,,,restaurant,17.4518874,78.3856618,node,6935579741,https://www.openstreetmap.org/node/6935579741
35596153,restaurant,Urban Spice kitchen,1150.3,,,,,,,,,,restaurant,17.4463118,78.3887776,node,7021303729,https://www.openstreetmap.org/node/7021303729
35596153,college,Orbit Educational Institutions,1157.0,,,,,,,,,,college,17.4500041,78.3859779,node,7021303759,https://www.openstreetmap.org/node/7021303759
35596153,restaurant,Urban Vilage,1160.6,,,,,,,,,,restaurant,17.4522212,78.3852733,node,6261439688,https://www.openstreetmap.org/node/6261439688
35596153,restaurant,President Dhaba,1170.2,,,,"Image Garden Road, Hyderabad, 500081",500081,,indian;regional;chinese,,,restaurant,17.4500761,78.3858133,node,5160665781,https://www.openstreetmap.org/node/5160665781
35596153,university,Iris Florets Madhapur,1170.3,,,,"123, Rd Number 3, Kakatiya Hills, Kavuri Hills Phase 1, Kavuri Hills, Madhapur, Hyderabad, Telangana 500081",,,,,,university,17.4443981,78.4006274,node,7385438462,https://www.openstreetmap.org/node/7385438462
35596153,restaurant,Palamuri Grill,1185.3,,,,,,,,,,restaurant,17.4522477,78.3850331,node,6259475585,https://www.openstreetmap.org/node/6259475585
35596153,university,The Learningraph,1189.7,,,,"Alamgir Masjid Lane, Kakatiya Hills, Kavuri Hills Phase 1, Kavuri Hills, Madhapur, Hyderabad, Telangana 500033",,,,,,university,17.4433156,78.3969912,node,7385438445,https://www.openstreetmap.org/node/7385438445
35596153,restaurant,Onesta Restaurant,1206.7,,,,,,,,,,restaurant,17.4492551,78.3858169,node,7021303730,https://www.openstreetmap.org/node/7021303730
35596153,restaurant,Naidu Gari Ruchulu,1230.1,,,,,,,,,,restaurant,17.4495149,78.3854475,node,7021303735,https://www.openstreetmap.org/node/7021303735
35596153,restaurant,Swach,1239.6,,,,,,,south_indian;indian,,,restaurant,17.455123,78.3844345,way,1199766652,https://www.openstreetmap.org/way/1199766652
35596153,pub,Sounds and Sprites,1265.8,,,,,,,,,,pub,17.4425942,78.3961412,node,6268103690,https://www.openstreetmap.org/node/6268103690
35596153,restaurant,Ahilobhilam Foods,1268.8,,,,,,,,,,restaurant,17.4549917,78.3841449,node,6248961886,https://www.openstreetmap.org/node/6248961886
35596153,restaurant,T-grill,1272.0,,,,,,,,,,restaurant,17.4425382,78.3961507,node,6268103691,https://www.openstreetmap.org/node/6268103691
35596153,restaurant,Annapurna,1272.1,,,,,,,,,,restaurant,17.4433326,78.3916667,node,5482822501,https://www.openstreetmap.org/node/5482822501
35596153,university,Pioneer World School,1293.0,,,,"Plot No. 16, H. No. 1-63/3/16, Jubilee Hills road no. 36 extension, Hyderabad, Telangana 500081",,,,,,university,17.4423925,78.3971119,node,7385438443,https://www.openstreetmap.org/node/7385438443
35596153,restaurant,Sree Uma Grand - Multicuisine Restaurant,1293.4,,,,,,,,,,restaurant,17.4427049,78.3930518,node,7025820793,https://www.openstreetmap.org/node/7025820793
35596153,university,St. Mary's Junior College,1316.5,,,,,,,,,,university,17.4422085,78.3974119,node,7385438444,https://www.openstreetmap.org/node/7385438444
